       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order    Vehicle_Routes
  2_8_4_1.5_2.0      7044.9      2789      2584     1671.9     0.0042584     Optimal     421.169	8-4-3-7-5-2-1-6    | 8-4 | 7-3 | 5-2 | 1-6 |
  3_8_4_1.5_2.0     11355.3      3122      4448     3785.3    0.00376967     Optimal     1030.37	7-3-1-5-6-4-8-2    | 7- | 3-1 | 5-6 | 8-2-4 |
  4_8_4_1.5_2.0        9015      2259      2808       3948    0.00828899     Optimal     1439.04	6-2-3-5-1-8-4-7    | 3-6-2 | 1-5 | 8-7-4 |
  5_8_4_1.5_2.0     10714.5      2489      3632     4593.5       17.6104    Feasible     3613.54	8-4-1-3-2-5-7-6    | 8-4 | 3-1 | 5-2 | 7-6 |
  1_8_4_1.5_2.5      7578.5      1608      3888     2082.5    0.00265518     Optimal     1175.04	4-6-1-3-8-7-5-2    | 4-1-6 | 3-7-8 | 2-5 |
  2_8_4_1.5_2.5        8475      2535      3384       2556    0.00226794     Optimal     238.276	8-3-5-4-7-6-1-2    | 3-8 | 4-5 | 6-7 | 2-1 |
  3_8_4_1.5_2.5      7024.2      2625      2536     1863.2    0.00988571     Optimal     428.704	1-6-5-4-2-8-3-7    | 6-1 | 5-4-2 | 3-8 | 7- |
  4_8_4_1.5_2.5     10573.5      3082      3376     4115.5    0.00930326     Optimal     576.118	3-4-5-1-6-8-2-7    | 3-4 | 5- | 1-6-8 | 2-7 |
  5_8_4_1.5_2.5      6433.4      2247      2704     1482.4             0     Optimal     172.803	3-4-6-8-2-1-5-7    | 4-6-3 | 8-2 | 1-7-5 |
  1_8_4_2.0_0.5      8801.4      2942      3472     2387.4     0.0076737     Optimal     758.823	1-3-8-2-5-4-7-6    | 1- | 8-3 | 4-5-2 | 6-7 |
  2_8_4_2.0_0.5     10531.9      2798      4344     3389.9    0.00401023     Optimal     979.437	8-4-3-2-5-1-6-7    | 8-4 | 5-2-3 | 1-6 | 7- |
  3_8_4_2.0_0.5     11293.1      3315      4432     3546.1    0.00912977     Optimal     2013.18	4-8-3-7-5-2-6-1    | 4-8 | 3- | 5-2-7 | 6-1 |
  4_8_4_2.0_0.5     11269.5      2479      4000     4790.5    0.00992828     Optimal     2152.11	7-4-5-3-8-6-2-1    | 4-7 | 8-3-5 | 2-6-1 |
  5_8_4_2.0_0.5      8862.6      2591      3048     3223.6    0.00825273     Optimal      630.57	5-8-1-2-7-3-6-4    | 5-8-1 | 7-2 | 3-4-6 |
